year,country,life_evaluation,gdp_per_capita,pm2_5,intentional_homicide_rate,healthy_life_expectancy,degree_of_urbanization,sdg_index_score
2011,Lithuania,5.588,29251.87747185385,16.3104488377446,6.96681994220841,63.87498451,58.1,75.9654501145913
2011,Luxembourg,7.051,129887.62696287333,15.1964907412119,0.771331163321661,70.26109833,62.236,74.117078612013
2011,Madagascar,4.309,1614.5513777378487,14.8317787262958,,55.19191971,36.79,48.65973118580766
2011,Malawi,4.624,1533.228895724054,19.1678879677523,2.24696688131315,50.98246482,54.049,49.98040082972582
2011,Malaysia,5.823,24115.818120395794,18.2222758028205,1.81743121597224,65.22203312,80.465,66.77902511671334
2011,Mali,3.967,2623.3462700869823,41.3928404859631,,51.43213462,43.145,50.88625580357143
2011,Malta,5.96,37740.847366542876,14.6398808384871,0.70649991698626,70.10967732,94.119,75.62369248366014
2011,Mauritania,4.643,5653.217200924267,49.0196495739197,,60.33128531,55.977,50.38233023512435
2011,Mauritius,5.477,19678.602263973276,15.9689639909968,2.48781940296999,63.88767844,91.51,64.87590578179989
2011,Mexico,6.74,20457.600167778302,17.9603910904213,23.6134785680132,64.99708929,77.354,65.77566875477464
2011,Mongolia,4.562,10960.095928386429,46.1738692440549,9.68970892806502,59.21664641,65.407,64.07770566378066
2011,Montenegro,5.147,20110.48697250475,28.7991539019875,3.31917415785834,66.52035962,80.805,71.12868537475595
2011,Morocco,4.793,7503.79296875,20.0117884593084,1.33991288287498,62.59007784,76.176,65.59712670401494
2011,Mozambique,4.693,1275.5295982258067,15.6051763609066,3.58999788532633,46.38167076,50.336,48.94239365079366
2011,Myanmar,5.322,4078.6122091996535,34.0895925194937,2.13477102911342,57.68494956,68.798,54.9580255326373
2011,Namibia,4.886,10965.272975953529,19.1486949521859,14.350110071867,53.2875184,38.051,58.96043865546219
2011,Nepal,4.474,3176.650406024168,52.7488588178893,2.47228294102196,59.8589232,70.574,59.68091048881674
2011,Netherlands,7.512,62318.13911543888,15.8751816468242,0.848611455055905,,83.744,78.15838228503523
2011,New Zealand,7.372,41961.92022636408,7.14580979286737,0.889862312060794,69.0459536,74.133,77.72816826073233
2011,Nicaragua,5.115,5976.252475193953,21.7376057725567,12.682480356333,66.13089688,65.628,61.23440126050421
2011,Niger,4.122,1325.926469874159,68.6712649060334,4.83806653628145,51.30897594,51.292,44.6338641504329
2011,Nigeria,4.856,8153.531786502706,60.5981870803509,,52.23027318,79.799,50.97604202529496
2011,North Macedonia,4.369,17201.236162643956,30.0063660364587,1.47026715489338,65.62542853,71.145,68.96067143082612
2011,Norway,7.524,84670.83443983554,8.33134144870997,2.24108049961155,69.83909679,62.709,82.08130573511457
2011,Pakistan,5.149,4246.067108824967,55.1733849833434,6.80258538196207,55.7744433,84.209,52.61062204005145
2011,Panama,6.863,24999.47026554821,15.1716286040201,14.8639320731842,67.18397539,66.152,65.7283371827519
2011,Paraguay,5.398,13107.810443598915,14.3574917202928,11.2990930113132,64.69857352,62.142,62.986438866342
2011,Peru,5.258,12724.883204942871,29.706354612961,5.5180019181967,68.53336165,70.975,66.43516524064171
2011,Philippines,4.825,6388.31296959977,24.6822130997902,8.64032540631909,61.43255175,82.338,61.47265602240896
2011,Poland,5.803,28521.6612623568,25.8393780636571,1.10446216454824,66.57402172,59.827,77.57150679973618
2011,Portugal,5.327,36127.2949766157,10.2621187703881,1.07984686066494,68.86846299,70.058,77.26457915711738
2011,Puerto Rico,6.593,,,,67.956497,83.374,
2011,Qatar,6.569,149025.11632502364,98.0607408213711,0.220878544410392,64.75578356,93.005,62.26494299719887
2011,Republic of Korea,5.643,,,,70.41507353,90.012,
2011,Republic of Moldova,5.305,,,,61.5530963,57.233,
2011,Romania,5.178,26150.74762317356,22.3185237720693,1.01074789871675,65.27195228,54.762,73.91808739495798
2011,Russian Federation,5.284,34444.64453125,13.5706689279912,11.2292273482455,60.75641253,78.496,68.59202162967752
2011,Rwanda,4.204,1945.537053838781,40.2979486427098,,56.53724775,86.187,52.36889620310246
2011,Saudi Arabia,6.597,58645.44594165308,73.8628444969087,,65.41226624,82.777,53.27667158730159
2011,Senegal,4.414,3362.879405381648,40.7000713653305,,57.36160479,69.369,53.56731942110177
2011,Serbia,4.564,17986.58402835389,28.1010565404824,1.75156114676202,65.39609436,64.271,73.74627556818182
2011,Sierra Leone,3.586,2590.52839404167,24.8500575155607,2.92770708400218,48.52647717,52.971,51.37051987522281
2011,Singapore,6.549,100153.72940594527,16.7516267296423,0.30874685632986,72.25753327,99.937,70.23967571428572
2011,Slovakia,5.657,,,,66.02535594,53.868,
2011,Slovenia,5.922,38233.29056228515,21.1444823610094,0.780943418696957,68.81327766,49.548,78.85410090824209
2011,Somaliland Region,4.691,,,,,,
2011,South Africa,5.101,14434.261145604813,28.534440032251,29.3498251398405,50.83901213,,59.37319188523894
2011,Spain,6.761,42271.83467882382,12.0942948150579,0.819183054272952,70.77351418,77.264,77.46137459893049
2011,Sri Lanka,4.26,10618.492599972198,28.5251295739551,3.48421308761825,65.23811462,82.608,65.94807703081233
2011,State of Palestine,4.555,,,,,92.386,
2011,Sudan,4.424,4467.6259765625,42.2186016282076,,58.0264854,75.722,46.04990693277311
2011,Sweden,7.379,56846.136829062525,8.22573808359796,0.857210073297811,70.72455485,66.867,85.5177181690858
2011,Switzerland,7.499,76527.33615399452,14.9579088964769,0.581221136763671,70.50295163,74.36,78.69508833562271
