year,country,life_evaluation,gdp_per_capita,pm2_5,intentional_homicide_rate,healthy_life_expectancy,degree_of_urbanization,sdg_index_score,gdp_per_capita_n,healthy_life_expectancy_n,pm2_5_n,intentional_homicide_rate_n,degree_of_urbanization_n,sdg_index_score_n,urban_happiness_index_raw,urban_happiness_index,urban_happiness_index_pca_raw,urban_happiness_index_pca,pca_happiness_index_raw,pca_happiness_index,sustainable_happiness_index_raw,sustainable_happiness_index
2011,Afghanistan,4.258,2757.052587477253,41.9026051489319,4.19453539608613,50.93310189,79.197,37.89358036796536,1.1073306989786662,3.4369272381709712,4.219182935856381,1.3453653974783397,7.551293487957182,1.1351244400557876,2.027192982071699,1.0,3.3631936878785975,1.980847328679082,2.19710473128272,1.1747649589078373,2.19710473128272,1.1747649589078373
2011,Albania,5.134,12153.06365917855,21.9489443809331,4.87720435898422,67.00329306,62.579,69.26289697181903,1.6785806155653882,8.048919923001744,2.5116323324471836,1.4024810137523838,5.589258540168967,6.7176476567948,3.288767807755085,2.996544563198479,4.901618869060834,4.961184622707985,4.976034219246484,5.8128114270520514,4.976034219246484,5.8128114270520514
2011,Algeria,5.368,14641.964093568453,15.9157535272917,0.758738181010027,65.35785983,77.002,69.14321018589254,1.8298984625419616,7.576696167860348,1.9953371622325884,1.0579088321488699,7.2921367476517815,6.6963480451517015,3.1114149096932966,2.7158692063476098,5.049615136263178,5.2478926146957745,4.787437728611309,5.49804299155072,4.787437728611309,5.49804299155072
2011,Angola,4.178,11034.591968781438,21.5236235344248,4.35620071002768,51.05446448,71.739,51.35704564977507,1.6105808170372375,3.4717571522255715,2.4752351581871848,1.3588911537932447,6.670750905179199,3.531099732173851,2.4081627126391707,1.6029155217928919,3.7034458153648426,2.6400058742644132,2.791677290189924,2.1671093738485965,2.791677290189924,2.1671093738485965
2011,Argentina,6.242,29425.759387608403,15.7163051408834,6.01715853502966,65.96714709,85.301,70.78391580510993,2.728709858581148,7.751555841672219,1.97826920580493,1.4978554760871026,8.271973553025134,6.988330090115665,3.466863392282723,3.278395281665137,5.390165530819264,5.9076289826430255,5.15444508917319,6.110580013382185,5.15444508917319,6.110580013382185
2011,Armenia,4.474,10990.177099035009,26.4617308757386,2.42878652522919,64.57398915,76.89,71.09339866071429,1.6078805232163553,7.351732705772716,2.8978176741675563,1.19763371429759,7.278913260219342,7.043406050118624,3.417902293345341,3.2009103684427282,5.485372813878396,6.092070722049711,4.9209479638611775,5.720872206089549,4.9209479638611775,5.720872206089549
2011,Australia,7.345,53257.04732376032,5.4379673679775,1.10321388892905,69.65596114,80.457,75.12525789831088,4.177582272821074,8.810210541814222,1.0986921662715858,1.0867294515391346,7.700057721572125,7.760920814139386,3.313538566205214,3.0357462990789634,5.322091141334139,5.775750848930437,5.856210969970975,7.281830589906609,5.856210969970975,7.281830589906609
2011,Austria,7.227,61272.172466289885,16.7900255714223,0.917401680155648,69.6239956,56.31,82.90816157106784,4.6648783747692715,8.801036734540421,2.0701536970958667,1.0711834411122354,4.84909744450858,9.145976185140725,3.705325431417257,3.655780814469643,5.666221559516195,6.442422671429845,6.528993642950228,8.404708055403761,6.528993642950228,8.404708055403761
2011,Azerbaijan,4.582,19358.077810034483,23.504172387075705,2.27956547808754,62.40031259,77.17,68.99386676587302,2.1166243451091593,6.727908117262352,2.644722222628474,1.1851491097062634,7.311971978800441,6.6697707014353975,3.2685783838383884,2.9645931610823544,5.249242570098424,5.634623859898914,4.727097618067383,5.397335061461874,4.727097618067383,5.397335061461874
2011,Bahrain,5.568,53132.3284162611,54.6856108835961,0.994424592783129,64.54082046,97.786,58.10569126984127,4.169999729020089,7.34221360584247,5.313098955046991,1.0776275763535166,9.746038201185916,4.732097233373333,3.186191719355735,2.834209577243959,5.6962240296801285,6.5005454074824645,5.176436724528387,6.147284156876891,5.176436724528387,6.147284156876891
